product_id,item_name,category,brand,material,season,gender_target,base_price,stock_quantity,supplier_name,product_introduction_date
1038,Tie,Accessories,Classic Collection,Denim,Spring/Summer,Women,1672,197,Global Fashion,2022-08-04
1039,Socks,Accessories,Luxe Label,Wool,All Season,Women,2376,153,Elite Fashion,2022-08-13
1040,Underwear,Intimates,Street Style,Wool,Spring/Summer,Unisex,4021,429,Elite Manufacturing,2020-09-05
1041,Swimsuit,Swimwear,Urban Chic,Canvas,Spring/Summer,Men,2453,76,Global Imports,2020-12-04
1042,Backpack,Accessories,Premium Fashion,Synthetic,Spring/Summer,Men,4657,120,Global Supply,2022-08-09
1043,Watch,Jewelry,Style Icon,Linen,All Season,Women,3455,383,International Fashion,2020-11-24
1044,Necklace,Jewelry,Elite Wear,Cotton,Spring/Summer,Men,3851,168,Elite Textiles,2022-07-24
1045,Bracelet,Jewelry,Fashion House,Leather,Fall/Winter,Unisex,1648,478,Quality Imports,2020-07-09
1046,Ring,Jewelry,Fashion House,Wool,Spring/Summer,Unisex,2722,340,Elite Textiles,2022-08-08
1047,Earrings,Jewelry,Modern Wardrobe,Wool,Fall/Winter,Men,3725,318,Quality Manufacturing,2022-05-21
1048,Clutch,Accessories,Street Style,Synthetic,Fall/Winter,Unisex,4812,107,Premium Manufacturing,2022-01-18
1049,Tote Bag,Accessories,Luxe Label,Wool,All Season,Unisex,1557,427,Premium Fashion,2021-08-04
1050,Messenger Bag,Accessories,Designer Choice,Silk,Spring/Summer,Men,4116,257,Quality Supply,2020-12-01
1051,Camisole,Tops,Fashion Forward,Cotton,All Season,Women,2503,164,Premium Manufacturing,2022-02-22
1052,Flannel Shirt,Tops,Street Style,Polyester,All Season,Women,1630,65,Global Textiles,2020-04-17
1053,Flip-Flops,Footwear,Boutique Brand,Cotton,All Season,Unisex,4432,382,Elite Fashion,2021-04-15
1054,Jumpsuit,Dresses,Boutique Brand,Wool,Spring/Summer,Unisex,4359,266,International Imports,2021-03-07
1055,Kimono,Outerwear,Modern Wardrobe,Polyester,Spring/Summer,Women,1896,233,International Imports,2022-05-26
1056,Overalls,Bottoms,Urban Chic,Synthetic,All Season,Unisex,3050,90,Elite Fashion,2021-11-20
1057,Pants,Bottoms,Modern Wardrobe,Silk,All Season,Unisex,1687,388,Premium Manufacturing,2021-02-28
1058,Raincoat,Outerwear,Trendy Threads,Polyester,Fall/Winter,Women,3357,375,International Imports,2020-06-12
1059,Romper,Dresses,Trendy Threads,Wool,All Season,Men,4154,86,Elite Fashion,2022-03-18
1060,Sun Hat,Accessories,Trendy Threads,Leather,Fall/Winter,Women,2605,377,Elite Fashion,2020-11-11
1061,Umbrella,Accessories,Urban Chic,Silk,Spring/Summer,Women,3143,187,Global Textiles,2020-10-23
